user_id,last_date,active_days,total_revenue,recency_days,frequency,monetary,r_quintile,f_quintile,m_quintile,RFM_score,RFM_numeric,segment
user_1,2025-06-16,28,5.98,15,28,5.98,2,4,5,245,245,Loyal
user_10,2025-06-24,17,0.0,7,17,0.0,3,2,1,321,321,Loyal
user_100,2025-06-05,29,0.0,26,29,0.0,1,4,1,141,141,Champions
user_1000,2025-06-28,22,0.99,3,22,0.99,4,2,3,423,423,Potential
user_1001,2025-06-05,23,10.98,26,23,10.98,1,3,5,135,135,Champions
user_1002,2025-06-26,32,1.98,5,32,1.98,3,5,4,354,354,Potential
user_1003,2025-06-29,13,0.0,2,13,0.0,5,1,1,511,511,At Risk
user_1004,2025-06-29,17,0.0,2,17,0.0,5,2,1,521,521,At Risk
user_1005,2025-06-29,11,9.99,2,11,9.99,5,1,5,515,515,At Risk
user_1006,2025-06-27,15,0.0,4,15,0.0,4,2,1,421,421,Potential
user_1007,2025-06-29,19,0.99,2,19,0.99,5,2,3,523,523,At Risk
user_1008,2025-06-28,11,0.0,3,11,0.0,4,1,1,411,411,Potential
user_1009,2025-05-09,22,0.99,53,22,0.99,1,2,3,123,123,Champions
user_101,2025-06-29,34,4.970000000000001,2,34,4.970000000000001,5,5,5,555,555,At Risk
user_1010,2025-06-26,20,0.0,5,20,0.0,3,2,1,321,321,Loyal
user_1011,2025-06-22,32,0.99,9,32,0.99,2,5,3,253,253,Loyal
user_1012,2025-06-28,1,0.0,3,1,0.0,4,1,1,411,411,Potential
user_1013,2025-06-27,5,0.0,4,5,0.0,4,1,1,411,411,Potential
user_1014,2025-06-06,33,3.96,25,33,3.96,1,5,4,154,154,Champions
user_1015,2025-06-27,18,0.0,4,18,0.0,4,2,1,421,421,Potential
user_1016,2025-06-30,8,0.0,1,8,0.0,5,1,1,511,511,At Risk
user_1017,2025-06-28,27,2.99,3,27,2.99,4,4,4,444,444,Potential
user_1018,2025-06-30,32,0.0,1,32,0.0,5,5,1,551,551,At Risk
user_1019,2025-06-30,10,0.0,1,10,0.0,5,1,1,511,511,At Risk
user_102,2025-06-29,27,0.0,2,27,0.0,5,4,1,541,541,At Risk
user_1020,2025-06-26,32,2.99,5,32,2.99,3,5,4,354,354,Potential
user_1021,2025-06-28,17,2.99,3,17,2.99,4,2,4,424,424,Potential
user_1022,2025-06-28,26,0.0,3,26,0.0,4,3,1,431,431,Potential
user_1023,2025-06-20,3,0.0,11,3,0.0,2,1,1,211,211,Champions
user_1025,2025-06-30,6,0.0,1,6,0.0,5,1,1,511,511,At Risk
user_1026,2025-06-28,30,9.99,3,30,9.99,4,4,5,445,445,Potential
user_1027,2025-06-30,6,0.0,1,6,0.0,5,1,1,511,511,At Risk
user_1028,2025-06-29,15,0.0,2,15,0.0,5,2,1,521,521,At Risk
user_1029,2025-05-30,32,5.960000000000001,32,32,5.960000000000001,1,5,5,155,155,Champions
user_103,2025-06-27,36,2.9699999999999998,4,36,2.9699999999999998,4,5,4,454,454,Potential
user_1030,2025-06-23,11,0.99,8,11,0.99,2,1,3,213,213,Champions
user_1031,2025-06-16,29,0.99,15,29,0.99,2,4,3,243,243,Loyal
user_1032,2025-06-29,29,0.0,2,29,0.0,5,4,1,541,541,At Risk
user_1033,2025-06-23,27,1.98,8,27,1.98,2,4,4,244,244,Loyal
user_1034,2025-06-28,31,0.99,3,31,0.99,4,4,3,443,443,Potential
user_1035,2025-06-27,31,2.99,4,31,2.99,4,4,4,444,444,Potential
user_1036,2025-06-16,13,0.0,15,13,0.0,2,1,1,211,211,Champions
user_1037,2025-06-23,23,12.98,8,23,12.98,2,3,5,235,235,Loyal
user_1038,2025-06-30,19,0.99,1,19,0.99,5,2,3,523,523,At Risk
user_1039,2025-05-16,32,0.99,46,32,0.99,1,5,3,153,153,Champions
user_104,2025-06-09,18,12.98,22,18,12.98,1,2,5,125,125,Champions
user_1040,2025-06-30,36,0.0,1,36,0.0,5,5,1,551,551,At Risk
user_1041,2025-06-26,21,0.0,5,21,0.0,3,2,1,321,321,Loyal
user_1042,2025-06-21,15,0.99,10,15,0.99,2,2,3,223,223,Champions
user_1043,2025-06-26,32,3.9800000000000004,5,32,3.9800000000000004,3,5,4,354,354,Potential
user_1044,2025-06-29,19,0.0,2,19,0.0,5,2,1,521,521,At Risk
user_1045,2025-06-30,9,0.0,1,9,0.0,5,1,1,511,511,At Risk
user_1046,2025-06-30,20,1.98,1,20,1.98,5,2,4,524,524,At Risk
user_1047,2025-06-08,30,13.97,23,30,13.97,1,4,5,145,145,Champions
user_1048,2025-05-01,29,3.9800000000000004,61,29,3.9800000000000004,1,4,4,144,144,Champions
user_1049,2025-06-29,10,0.0,2,10,0.0,5,1,1,511,511,At Risk
user_105,2025-06-30,9,0.99,1,9,0.99,5,1,3,513,513,At Risk
user_1050,2025-06-24,32,19.99,7,32,19.99,3,5,5,355,355,Potential
user_1051,2025-06-23,9,0.0,8,9,0.0,2,1,1,211,211,Champions
user_1052,2025-06-22,25,2.99,9,25,2.99,2,3,4,234,234,Loyal
user_1053,2025-06-27,4,0.0,4,4,0.0,4,1,1,411,411,Potential
